Listing of Array trace data
     px      py error            xout            yout   trans
 -0.300  -0.200     0  -4.701048E-003  -3.134032E-003  1.0000
 -0.300  -0.150     0  -4.858025E-003  -2.429013E-003  1.0000
 -0.300  -0.100     0  -4.971132E-003  -1.657044E-003  1.0000
 -0.300  -0.050     0  -5.039385E-003  -8.398976E-004  1.0000
 -0.300   0.000     0  -5.062201E-003   0.000000E+000  1.0000
 -0.300   0.050     0  -5.039385E-003   8.398976E-004  1.0000
 -0.300   0.100     0  -4.971132E-003   1.657044E-003  1.0000
 -0.300   0.150     0  -4.858025E-003   2.429013E-003  1.0000
 -0.300   0.200     0  -4.701048E-003   3.134032E-003  1.0000
 -0.300   0.250     0  -4.501599E-003   3.751333E-003  1.0000
 -0.300   0.300     0  -4.261518E-003   4.261518E-003  1.0000
 -0.300   0.350     0  -3.983110E-003   4.646962E-003  1.0000
 -0.300   0.400     0  -3.669192E-003   4.892256E-003  1.0000
 -0.300   0.450     0  -3.323134E-003   4.984701E-003  1.0000
 -0.300   0.500     0  -2.948922E-003   4.914870E-003  1.0000
 -0.250  -0.500     0  -2.636611E-003  -5.273223E-003  1.0000
 -0.250  -0.450     0  -2.954885E-003  -5.318793E-003  1.0000
 -0.250  -0.400     0  -3.248854E-003  -5.198167E-003  1.0000
 -0.250  -0.350     0  -3.515257E-003  -4.921359E-003  1.0000
 -0.250  -0.300     0  -3.751333E-003  -4.501599E-003  1.0000
 -0.250  -0.250     0  -3.954779E-003  -3.954779E-003  1.0000
 -0.250  -0.200     0  -4.123705E-003  -3.298964E-003  1.0000
 -0.250  -0.150     0  -4.256607E-003  -2.553964E-003  1.0000
 -0.250  -0.100     0  -4.352340E-003  -1.740936E-003  1.0000
 -0.250  -0.050     0  -4.410098E-003  -8.820196E-004  1.0000
 -0.250   0.000     0  -4.429403E-003   0.000000E+000  1.0000
 -0.250   0.050     0  -4.410098E-003   8.820196E-004  1.0000
 -0.250   0.100     0  -4.352340E-003   1.740936E-003  1.0000
 -0.250   0.150     0  -4.256607E-003   2.553964E-003  1.0000
 -0.250   0.200     0  -4.123705E-003   3.298964E-003  1.0000
 -0.250   0.250     0  -3.954779E-003   3.954779E-003  1.0000
 -0.250   0.300     0  -3.751333E-003   4.501599E-003  1.0000
 -0.250   0.350     0  -3.515257E-003   4.921359E-003  1.0000
 -0.250   0.400     0  -3.248854E-003   5.198167E-003  1.0000
 -0.250   0.450     0  -2.954885E-003   5.318793E-003  1.0000
 -0.250   0.500     0  -2.636611E-003   5.273223E-003  1.0000
 -0.200  -0.500     0  -2.228800E-003  -5.572000E-003  1.0000
 -0.200  -0.450     0  -2.487560E-003  -5.597010E-003  1.0000
 -0.200  -0.400     0  -2.726334E-003  -5.452667E-003  1.0000
 -0.200  -0.350     0  -2.942550E-003  -5.149462E-003  1.0000
 -0.200  -0.300     0  -3.134032E-003  -4.701048E-003  1.0000
 -0.200  -0.250     0  -3.298964E-003  -4.123705E-003  1.0000
 -0.200  -0.200     0  -3.435856E-003  -3.435856E-003  1.0000
 -0.200  -0.150     0  -3.543523E-003  -2.657642E-003  1.0000
 -0.200  -0.100     0  -3.621060E-003  -1.810530E-003  1.0000
 -0.200  -0.050     0  -3.667834E-003  -9.169584E-004  1.0000
 -0.200   0.000     0  -3.683467E-003   0.000000E+000  1.0000
 -0.200   0.050     0  -3.667834E-003   9.169584E-004  1.0000
 -0.200   0.100     0  -3.621060E-003   1.810530E-003  1.0000
 -0.200   0.150     0  -3.543523E-003   2.657642E-003  1.0000
 -0.200   0.200     0  -3.435856E-003   3.435856E-003  1.0000
 -0.200   0.250     0  -3.298964E-003   4.123705E-003  1.0000
 -0.200   0.300     0  -3.134032E-003   4.701048E-003  1.0000
 -0.200   0.350     0  -2.942550E-003   5.149462E-003  1.0000
 -0.200   0.400     0  -2.726334E-003   5.452667E-003  1.0000
 -0.200   0.450     0  -2.487560E-003   5.597010E-003  1.0000
 -0.200   0.500     0  -2.228800E-003   5.572000E-003  1.0000
 -0.150  -0.500     0  -1.742341E-003  -5.807804E-003  1.0000
 -0.150  -0.450     0  -1.938795E-003  -5.816386E-003  1.0000
 -0.150  -0.400     0  -2.119948E-003  -5.653194E-003  1.0000
 -0.150  -0.350     0  -2.283891E-003  -5.329080E-003  1.0000
 -0.150  -0.300     0  -2.429013E-003  -4.858025E-003  1.0000
 -0.150  -0.250     0  -2.553964E-003  -4.256607E-003  1.0000
 -0.150  -0.200     0  -2.657642E-003  -3.543523E-003  1.0000
 -0.150  -0.150     0  -2.739166E-003  -2.739166E-003  1.0000
 -0.150  -0.100     0  -2.797867E-003  -1.865245E-003  1.0000
 -0.150  -0.050     0  -2.833274E-003  -9.444246E-004  1.0000
 -0.150   0.000     0  -2.845107E-003   0.000000E+000  1.0000
 -0.150   0.050     0  -2.833274E-003   9.444246E-004  1.0000
 -0.150   0.100     0  -2.797867E-003   1.865245E-003  1.0000
 -0.150   0.150     0  -2.739166E-003   2.739166E-003  1.0000
 -0.150   0.200     0  -2.657642E-003   3.543523E-003  1.0000
 -0.150   0.250     0  -2.553964E-003   4.256607E-003  1.0000
 -0.150   0.300     0  -2.429013E-003   4.858025E-003  1.0000
 -0.150   0.350     0  -2.283891E-003   5.329080E-003  1.0000
 -0.150   0.400     0  -2.119948E-003   5.653194E-003  1.0000
 -0.150   0.450     0  -1.938795E-003   5.816386E-003  1.0000
 -0.150   0.500     0  -1.742341E-003   5.807804E-003  1.0000
 -0.100  -0.500     0  -1.195610E-003  -5.978048E-003  1.0000
 -0.100  -0.450     0  -1.327703E-003  -5.974666E-003  1.0000
 -0.100  -0.400     0  -1.449449E-003  -5.797796E-003  1.0000
 -0.100  -0.350     0  -1.559585E-003  -5.458547E-003  1.0000
 -0.100  -0.300     0  -1.657044E-003  -4.971132E-003  1.0000
 -0.100  -0.250     0  -1.740936E-003  -4.352340E-003  1.0000
 -0.100  -0.200     0  -1.810530E-003  -3.621060E-003  1.0000
 -0.100  -0.150     0  -1.865245E-003  -2.797867E-003  1.0000
 -0.100  -0.100     0  -1.904637E-003  -1.904637E-003  1.0000
 -0.100  -0.050     0  -1.928395E-003  -9.641977E-004  1.0000
 -0.100   0.000     0  -1.936335E-003   0.000000E+000  1.0000
 -0.100   0.050     0  -1.928395E-003   9.641977E-004  1.0000
 -0.100   0.100     0  -1.904637E-003   1.904637E-003  1.0000
 -0.100   0.150     0  -1.865245E-003   2.797867E-003  1.0000
 -0.100   0.200     0  -1.810530E-003   3.621060E-003  1.0000
 -0.100   0.250     0  -1.740936E-003   4.352340E-003  1.0000
 -0.100   0.300     0  -1.657044E-003   4.971132E-003  1.0000
 -0.100   0.350     0  -1.559585E-003   5.458547E-003  1.0000
 -0.100   0.400     0  -1.449449E-003   5.797796E-003  1.0000
 -0.100   0.450     0  -1.327703E-003   5.974666E-003  1.0000
 -0.100   0.500     0  -1.195610E-003   5.978048E-003  1.0000
 -0.050  -0.500     0  -6.080913E-004  -6.080913E-003  1.0000
 -0.050  -0.450     0  -6.744734E-004  -6.070261E-003  1.0000
 -0.050  -0.400     0  -7.356374E-004  -5.885099E-003  1.0000
 -0.050  -0.350     0  -7.909557E-004  -5.536690E-003  1.0000
 -0.050  -0.300     0  -8.398976E-004  -5.039385E-003  1.0000
 -0.050  -0.250     0  -8.820196E-004  -4.410098E-003  1.0000
 -0.050  -0.200     0  -9.169584E-004  -3.667834E-003  1.0000
 -0.050  -0.150     0  -9.444246E-004  -2.833274E-003  1.0000
 -0.050  -0.100     0  -9.641977E-004  -1.928395E-003  1.0000
 -0.050  -0.050     0  -9.761229E-004  -9.761229E-004  1.0000
 -0.050   0.000     0  -9.801081E-004   0.000000E+000  1.0000
 -0.050   0.050     0  -9.761229E-004   9.761229E-004  1.0000
 -0.050   0.100     0  -9.641977E-004   1.928395E-003  1.0000
 -0.050   0.150     0  -9.444246E-004   2.833274E-003  1.0000
 -0.050   0.200     0  -9.169584E-004   3.667834E-003  1.0000
 -0.050   0.250     0  -8.820196E-004   4.410098E-003  1.0000
 -0.050   0.300     0  -8.398976E-004   5.039385E-003  1.0000
 -0.050   0.350     0  -7.909557E-004   5.536690E-003  1.0000
 -0.050   0.400     0  -7.356374E-004   5.885099E-003  1.0000
 -0.050   0.450     0  -6.744734E-004   6.070261E-003  1.0000
 -0.050   0.500     0  -6.080913E-004   6.080913E-003  1.0000
  0.000  -0.500     0   0.000000E+000  -6.115320E-003  1.0000
  0.000  -0.450     0   0.000000E+000  -6.102230E-003  1.0000
  0.000  -0.400     0   0.000000E+000  -5.914290E-003  1.0000
  0.000  -0.350     0   0.000000E+000  -5.562815E-003  1.0000
  0.000  -0.300     0   0.000000E+000  -5.062201E-003  1.0000
  0.000  -0.250     0   0.000000E+000  -4.429403E-003  1.0000
  0.000  -0.200     0   0.000000E+000  -3.683467E-003  1.0000
  0.000  -0.150     0   0.000000E+000  -2.845107E-003  1.0000
  0.000  -0.100     0   0.000000E+000  -1.936335E-003  1.0000
  0.000  -0.050     0   0.000000E+000  -9.801081E-004  1.0000
  0.000   0.000     0   0.000000E+000   0.000000E+000  1.0000
  0.000   0.050     0   0.000000E+000   9.801081E-004  1.0000
  0.000   0.100     0   0.000000E+000   1.936335E-003  1.0000
  0.000   0.150     0   0.000000E+000   2.845107E-003  1.0000
  0.000   0.200     0   0.000000E+000   3.683467E-003  1.0000
  0.000   0.250     0   0.000000E+000   4.429403E-003  1.0000
  0.000   0.300     0   0.000000E+000   5.062201E-003  1.0000
  0.000   0.350     0   0.000000E+000   5.562815E-003  1.0000
  0.000   0.400     0   0.000000E+000   5.914290E-003  1.0000
  0.000   0.450     0   0.000000E+000   6.102230E-003  1.0000
  0.000   0.500     0   0.000000E+000   6.115320E-003  1.0000
  0.050  -0.500     0   6.080913E-004  -6.080913E-003  1.0000
  0.050  -0.450     0   6.744734E-004  -6.070261E-003  1.0000
  0.050  -0.400     0   7.356374E-004  -5.885099E-003  1.0000
  0.050  -0.350     0   7.909557E-004  -5.536690E-003  1.0000
  0.050  -0.300     0   8.398976E-004  -5.039385E-003  1.0000
  0.050  -0.250     0   8.820196E-004  -4.410098E-003  1.0000
  0.050  -0.200     0   9.169584E-004  -3.667834E-003  1.0000
  0.050  -0.150     0   9.444246E-004  -2.833274E-003  1.0000
  0.050  -0.100     0   9.641977E-004  -1.928395E-003  1.0000
  0.050  -0.050     0   9.761229E-004  -9.761229E-004  1.0000
  0.050   0.000     0   9.801081E-004   0.000000E+000  1.0000
  0.050   0.050     0   9.761229E-004   9.761229E-004  1.0000
  0.050   0.100     0   9.641977E-004   1.928395E-003  1.0000
  0.050   0.150     0   9.444246E-004   2.833274E-003  1.0000
  0.050   0.200     0   9.169584E-004   3.667834E-003  1.0000
  0.050   0.250     0   8.820196E-004   4.410098E-003  1.0000
  0.050   0.300     0   8.398976E-004   5.039385E-003  1.0000
  0.050   0.350     0   7.909557E-004   5.536690E-003  1.0000
  0.050   0.400     0   7.356374E-004   5.885099E-003  1.0000
  0.050   0.450     0   6.744734E-004   6.070261E-003  1.0000
  0.050   0.500     0   6.080913E-004   6.080913E-003  1.0000
  0.100  -0.500     0   1.195610E-003  -5.978048E-003  1.0000
  0.100  -0.450     0   1.327703E-003  -5.974666E-003  1.0000
  0.100  -0.400     0   1.449449E-003  -5.797796E-003  1.0000
  0.100  -0.350     0   1.559585E-003  -5.458547E-003  1.0000
  0.100  -0.300     0   1.657044E-003  -4.971132E-003  1.0000
  0.100  -0.250     0   1.740936E-003  -4.352340E-003  1.0000
  0.100  -0.200     0   1.810530E-003  -3.621060E-003  1.0000
  0.100  -0.150     0   1.865245E-003  -2.797867E-003  1.0000
  0.100  -0.100     0   1.904637E-003  -1.904637E-003  1.0000
  0.100  -0.050     0   1.928395E-003  -9.641977E-004  1.0000
  0.100   0.000     0   1.936335E-003   0.000000E+000  1.0000
  0.100   0.050     0   1.928395E-003   9.641977E-004  1.0000
  0.100   0.100     0   1.904637E-003   1.904637E-003  1.0000
  0.100   0.150     0   1.865245E-003   2.797867E-003  1.0000
  0.100   0.200     0   1.810530E-003   3.621060E-003  1.0000
  0.100   0.250     0   1.740936E-003   4.352340E-003  1.0000
  0.100   0.300     0   1.657044E-003   4.971132E-003  1.0000
  0.100   0.350     0   1.559585E-003   5.458547E-003  1.0000
  0.100   0.400     0   1.449449E-003   5.797796E-003  1.0000
  0.100   0.450     0   1.327703E-003   5.974666E-003  1.0000
  0.100   0.500     0   1.195610E-003   5.978048E-003  1.0000
  0.150  -0.500     0   1.742341E-003  -5.807804E-003  1.0000
  0.150  -0.450     0   1.938795E-003  -5.816386E-003  1.0000
  0.150  -0.400     0   2.119948E-003  -5.653194E-003  1.0000
  0.150  -0.350     0   2.283891E-003  -5.329080E-003  1.0000
  0.150  -0.300     0   2.429013E-003  -4.858025E-003  1.0000
  0.150  -0.250     0   2.553964E-003  -4.256607E-003  1.0000
  0.150  -0.200     0   2.657642E-003  -3.543523E-003  1.0000
  0.150  -0.150     0   2.739166E-003  -2.739166E-003  1.0000
  0.150  -0.100     0   2.797867E-003  -1.865245E-003  1.0000
  0.150  -0.050     0   2.833274E-003  -9.444246E-004  1.0000
  0.150   0.000     0   2.845107E-003   0.000000E+000  1.0000
  0.150   0.050     0   2.833274E-003   9.444246E-004  1.0000
  0.150   0.100     0   2.797867E-003   1.865245E-003  1.0000
  0.150   0.150     0   2.739166E-003   2.739166E-003  1.0000
  0.150   0.200     0   2.657642E-003   3.543523E-003  1.0000
  0.150   0.250     0   2.553964E-003   4.256607E-003  1.0000
  0.150   0.300     0   2.429013E-003   4.858025E-003  1.0000
  0.150   0.350     0   2.283891E-003   5.329080E-003  1.0000
  0.150   0.400     0   2.119948E-003   5.653194E-003  1.0000
  0.150   0.450     0   1.938795E-003   5.816386E-003  1.0000
  0.150   0.500     0   1.742341E-003   5.807804E-003  1.0000
  0.200  -0.500     0   2.228800E-003  -5.572000E-003  1.0000
  0.200  -0.450     0   2.487560E-003  -5.597010E-003  1.0000
  0.200  -0.400     0   2.726334E-003  -5.452667E-003  1.0000
  0.200  -0.350     0   2.942550E-003  -5.149462E-003  1.0000
  0.200  -0.300     0   3.134032E-003  -4.701048E-003  1.0000
  0.200  -0.250     0   3.298964E-003  -4.123705E-003  1.0000
  0.200  -0.200     0   3.435856E-003  -3.435856E-003  1.0000
  0.200  -0.150     0   3.543523E-003  -2.657642E-003  1.0000
  0.200  -0.100     0   3.621060E-003  -1.810530E-003  1.0000
  0.200  -0.050     0   3.667834E-003  -9.169584E-004  1.0000
  0.200   0.000     0   3.683467E-003   0.000000E+000  1.0000
  0.200   0.050     0   3.667834E-003   9.169584E-004  1.0000
  0.200   0.100     0   3.621060E-003   1.810530E-003  1.0000
  0.200   0.150     0   3.543523E-003   2.657642E-003  1.0000
  0.200   0.200     0   3.435856E-003   3.435856E-003  1.0000
  0.200   0.250     0   3.298964E-003   4.123705E-003  1.0000
  0.200   0.300     0   3.134032E-003   4.701048E-003  1.0000
  0.200   0.350     0   2.942550E-003   5.149462E-003  1.0000
  0.200   0.400     0   2.726334E-003   5.452667E-003  1.0000
  0.200   0.450     0   2.487560E-003   5.597010E-003  1.0000
  0.200   0.500     0   2.228800E-003   5.572000E-003  1.0000
  0.250  -0.500     0   2.636611E-003  -5.273223E-003  1.0000
  0.250  -0.450     0   2.954885E-003  -5.318793E-003  1.0000
  0.250  -0.400     0   3.248854E-003  -5.198167E-003  1.0000
  0.250  -0.350     0   3.515257E-003  -4.921359E-003  1.0000
  0.250  -0.300     0   3.751333E-003  -4.501599E-003  1.0000
  0.250  -0.250     0   3.954779E-003  -3.954779E-003  1.0000
  0.250  -0.200     0   4.123705E-003  -3.298964E-003  1.0000
  0.250  -0.150     0   4.256607E-003  -2.553964E-003  1.0000
  0.250  -0.100     0   4.352340E-003  -1.740936E-003  1.0000
  0.250  -0.050     0   4.410098E-003  -8.820196E-004  1.0000
  0.250   0.000     0   4.429403E-003   0.000000E+000  1.0000
  0.250   0.050     0   4.410098E-003   8.820196E-004  1.0000
